,reach,weight,height,w/l,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.,result
4,1.0,10.0,1.0,-0.2222222222222222,1.2400000000000002,3.0,1.3200000000000003,4.0,-2.81,2.0,9.0,0.09999999999999998,1.0
5,-1.0,20.0,2.0,-0.10210210210210213,0.6499999999999999,0.0,0.6699999999999999,4.0,-4.859999999999999,-15.0,-12.0,0.4,1.0
6,0.0,0.0,1.0,-0.0505050505050505,0.8900000000000001,8.0,0.2400000000000002,-7.0,-3.02,-12.0,5.0,-0.5,1.0
7,3.0,0.0,2.0,0.0,1.2400000000000002,-8.0,0.8700000000000001,5.0,-4.66,23.0,-13.0,-0.19999999999999996,1.0
8,-1.0,0.0,-2.0,0.03472222222222221,0.1299999999999999,10.0,-0.5399999999999998,11.0,-3.6399999999999997,-27.0,26.0,1.2000000000000002,1.0
9,6.0,10.0,6.0,0.08585858585858586,-0.7,2.0,0.6800000000000002,-14.0,-1.8599999999999999,-12.0,0.0,1.2000000000000002,1.0
0,3.0,0.0,0.0,-0.08441558441558439,-2.4799999999999995,-11.0,-0.56,4.0,0.31,25.0,-7.0,-1.0999999999999999,1.0
1,1.0,0.0,2.0,-0.027272727272727337,-1.0799999999999996,1.0,-1.37,7.0,3.31,60.0,-18.0,-0.09999999999999987,1.0
2,1.0,0.0,0.0,0.022727272727272707,-3.05,-12.0,1.35,-4.0,0.83,37.0,-28.0,-0.7999999999999999,1.0
3,0.0,0.0,0.0,-0.034965034965035,-0.7499999999999996,-11.0,1.9999999999999996,3.0,4.21,58.0,9.0,-1.4,1.0
4,3.0,0.0,4.0,0.058441558441558406,-0.3899999999999997,5.0,-0.79,-1.0,1.97,36.0,-28.0,1.2000000000000002,0.0
0,-1.0,0.0,-3.0,0.0368421052631579,-0.6299999999999999,-2.0,0.7399999999999998,-11.0,-0.8000000000000003,-24.0,17.0,-1.0,0.0
1,-1.0,0.0,-3.0,0.15714285714285714,-0.06000000000000005,-11.0,0.009999999999999787,2.0,-2.1,-31.0,18.0,-0.5,0.0
2,0.0,10.0,-4.0,0.0037037037037037646,-0.14000000000000012,-4.0,1.1099999999999999,-1.0,-2.51,-31.0,36.0,-1.3,0.0
3,-3.0,0.0,-4.0,-0.09999999999999998,-1.1400000000000001,-7.0,4.07,-15.0,-2.74,-20.0,-17.0,-0.19999999999999996,1.0
4,0.0,0.0,-4.0,0.22307692307692317,-0.16999999999999993,8.0,-0.6100000000000001,2.0,0.22999999999999998,-6.0,14.0,-0.8,0.0
5,-2.0,0.0,-3.0,0.0037037037037037646,-1.54,-1.0,-0.10999999999999988,-1.0,0.3999999999999999,-30.0,8.0,-1.0,0.0
6,-1.0,0.0,-2.0,0.027272727272727337,1.0799999999999996,-1.0,1.37,-7.0,-3.31,-60.0,18.0,0.09999999999999987,0.0
7,1.0,10.0,1.0,-0.09130434782608687,-0.1499999999999999,-5.0,1.46,-19.0,-3.31,-60.0,2.0,-1.3,1.0
8,2.0,0.0,2.0,0.08571428571428574,0.69,4.0,0.5800000000000001,-8.0,-1.34,-24.0,-10.0,1.3,1.0
0,-1.0,0.0,-2.0,0.09523809523809523,0.9899999999999998,-9.0,-0.48,12.0,0.6799999999999999,9.0,24.0,0.0,0.0
1,-3.0,0.0,-3.0,-0.08190476190476181,0.9199999999999999,1.0,-0.6099999999999999,8.0,0.5800000000000001,19.0,15.0,0.0,1.0
2,0.0,10.0,-3.0,-0.05820105820105814,0.9099999999999997,-2.0,0.6200000000000001,9.0,0.27,9.0,42.0,-0.8,0.0
3,4.0,0.0,2.0,-0.13032581453634084,-0.6300000000000001,-4.0,1.4400000000000004,-15.0,-0.53,-20.0,25.0,-0.4,1.0
4,0.0,0.0,0.0,-0.06959706959706957,0.29000000000000004,-17.0,0.73,15.0,-0.53,-20.0,-42.0,-0.8,1.0
