first,last,nickname,height,weight,reach,stance,w,l,d,belt,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.
Andrei,Arlovski,The Pitbull,"6' 3""",240 lbs.,"77.0""",Orthodox,25,13,0,n/a,3.13,41%,2.48,59%,0.39,41%,82%,0.5
Joey,Armstrong,n/a,n/a,n/a,n/a,n/a,5,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Ricardo,Arona,The Brazilian Tiger,"5' 11""",205 lbs.,n/a,Orthodox,14,5,0,n/a,1.66,48%,1.15,57%,2.41,48%,58%,1.2
Chalid,Arrab,Die Faust,"5' 11""",205 lbs.,n/a,Orthodox,7,3,0,n/a,1.56,34%,1.63,56%,3.05,75%,37%,1
Akbarh,Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,10,1,n/a,2.32,45%,4.01,56%,1.07,100%,33%,0.4
Matt,Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,n/a,1.62,47%,2.01,58%,2.12,36%,100%,5.3
Gilles,Arsene,n/a,"5' 9""",190 lbs.,n/a,Southpaw,1,1,0,n/a,0.06,10%,2.45,32%,0,0%,0%,0
Cesar,Arzamendia,Goku,"5' 11""",155 lbs.,"71.0""",n/a,7,4,0,n/a,5.37,45%,5.2,56%,7.32,75%,0%,2.4
Cyril,Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,7,2,0,n/a,4.76,33%,9.88,20%,0,0%,0%,0
Scott,Askham,n/a,"6' 3""",185 lbs.,"75.0""",Southpaw,14,3,0,n/a,2.26,47%,3.15,48%,0.29,12%,65%,0.9
Junior,Assuncao,n/a,"5' 9""",145 lbs.,"72.0""",Orthodox,13,4,0,n/a,3.31,62%,2.06,44%,2.43,24%,66%,0.7
Raphael,Assuncao,n/a,"5' 5""",135 lbs.,"66.0""",Orthodox,23,5,0,n/a,3.44,42%,2.09,69%,1.68,34%,77%,0.4
Bazigit,Atajev,Volk,"6' 1""",230 lbs.,n/a,Orthodox,17,1,0,n/a,0.87,41%,3.14,49%,1,33%,0%,0
Rich,Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,n/a,2.28,47%,2.13,59%,0.74,37%,75%,0
Olivier,Aubin-Mercier,The Quebec Kid,"5' 9""",155 lbs.,"70.0""",Southpaw,10,2,0,n/a,2.91,53%,2.96,57%,2.99,32%,83%,0.7
Pat,Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,n/a,Orthodox,9,2,1,n/a,1.17,12%,4.31,41%,0.8,50%,0%,0
