first,last,nickname,height,weight,reach,stance,w,l,d,belt,SLpM,Str. Acc.,SApM,Str. Def,TD Avg,TD Acc.,TD Def.,Sub. Avg.
Neil,Seery,TwoTap,"5' 4""",125 lbs.,"64.0""",Orthodox,16,12,0,n/a,3.11,40%,2.95,62%,0.89,31%,54%,1.8
Rony,Sefo,n/a,"5' 9""",225 lbs.,n/a,Orthodox,0,2,0,n/a,0,0%,0.43,0%,0,0%,0%,0
Ray,Sefo,Sugarfoot,"6' 0""",240 lbs.,n/a,Orthodox,2,1,0,n/a,0.86,31%,1.71,72%,0,0%,66%,0
Brendan,Seguin,n/a,"6' 0""",185 lbs.,n/a,n/a,23,17,1,n/a,2.6,45%,0.6,84%,5,62%,100%,0
Pete,Sell,Drago,"5' 11""",170 lbs.,"75.0""",Orthodox,9,5,0,n/a,2.6,42%,3.65,51%,0.91,21%,47%,0.9
Andrei,Semenov,n/a,"6' 0""",185 lbs.,n/a,Orthodox,30,9,2,n/a,0.78,15%,2.44,60%,1.74,80%,55%,0.4
Mackens,Semerzier,Da Menace,"5' 9""",145 lbs.,"72.0""",Orthodox,8,4,0,n/a,2.91,45%,3.48,46%,2.14,50%,50%,2.1
Brandon,Sene,n/a,"5' 11""",205 lbs.,n/a,n/a,2,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Kim In,Seok,n/a,"5' 6""",145 lbs.,n/a,Orthodox,3,5,0,n/a,0.87,37%,5.19,60%,0,0%,0%,0
Ray,Seraille,n/a,"6' 3""",246 lbs.,n/a,n/a,8,9,0,n/a,5.29,27%,17.65,41%,0,0%,0%,0
Ivan,Serati,n/a,"6' 0""",205 lbs.,n/a,Orthodox,12,4,0,n/a,0.86,26%,5.33,29%,0,0%,0%,0
Alex,Serdyukov,The Russian Crusher,"6' 2""",170 lbs.,"74.0""",Orthodox,8,5,0,n/a,3.92,42%,2.53,54%,1.56,60%,70%,2.6
Nicholas,Sergiacomi,n/a,n/a,170 lbs.,n/a,n/a,1,1,0,n/a,4.38,55%,3.94,59%,0,0%,0%,0
Matt,Serra,The Terra,"5' 6""",170 lbs.,"68.0""",Orthodox,11,7,0,n/a,1.98,39%,2.64,46%,2.05,20%,38%,0.9
Nick,Serra,The Mad Monkey,"5' 9""",170 lbs.,n/a,Orthodox,7,3,0,n/a,0,0%,1.73,43%,1,10%,0%,2
Adrian,Serrano,n/a,"5' 8""",170 lbs.,n/a,n/a,56,29,4,n/a,0,0%,0,0%,0,0%,0%,0
Fredy,Serrano,El Profe,"5' 3""",125 lbs.,"65.0""",Orthodox,3,2,0,n/a,1.58,26%,1.89,61%,2.84,25%,84%,0
Carl,Seumanutafa,n/a,"6' 1""",255 lbs.,n/a,Orthodox,4,3,0,n/a,0,0%,3.33,75%,0,0%,0%,0
Dan,Severn,The Beast,"6' 2""",250 lbs.,n/a,Southpaw,100,18,7,n/a,0,0%,0,0%,0,0%,0%,0
Rosi,Sexton,The Surgeon,"5' 3""",135 lbs.,"63.0""",Orthodox,13,4,0,n/a,3.31,39%,7.42,41%,0.75,10%,80%,0
Scott,Shaffer,n/a,"5' 7""",145 lbs.,n/a,Orthodox,0,1,0,n/a,2.4,67%,0.53,50%,0,0%,72%,3
Kamal,Shalorus,Prince of Persia,"5' 8""",155 lbs.,"68.0""",Orthodox,7,3,2,n/a,3.06,32%,2.99,70%,2.07,50%,80%,0
Ken,Shamrock,The World's Most Dangerous Man,"6' 1""",205 lbs.,"72.0""",Orthodox,28,16,2,n/a,1.47,46%,4.3,39%,0.94,60%,44%,2.5
Frank,Shamrock,n/a,"5' 10""",185 lbs.,n/a,Orthodox,22,11,2,n/a,4.75,53%,4.66,57%,0.35,50%,37%,1.1
Jason,Sharp,n/a,n/a,205 lbs.,n/a,n/a,3,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Sean,Sherk,The Muscle Shark,"5' 6""",155 lbs.,"67.0""",Orthodox,36,4,1,n/a,2.17,35%,2.71,55%,4.09,46%,56%,0.4
Chase,Sherman,The Vanilla Gorilla,"6' 4""",250 lbs.,"78.0""",Orthodox,9,2,0,n/a,3.93,35%,7.53,50%,0,0%,0%,0
Valentina,Shevchenko,Bullet,"5' 5""",135 lbs.,"67.0""",Southpaw,13,2,0,n/a,2.67,49%,2.18,64%,2.18,47%,70%,0
Katsuyori,Shibata,n/a,"6' 0""",168 lbs.,n/a,Orthodox,4,11,1,n/a,2.06,35%,2.4,53%,0.49,50%,53%,0.7
Jake,Shields,n/a,"6' 0""",170 lbs.,"72.0""",Orthodox,29,7,1,n/a,2.45,36%,1.8,56%,2.83,29%,35%,1.2
Shunichi,Shimizu,Rolling Star,"5' 5""",135 lbs.,"66.0""",Orthodox,28,9,10,n/a,0.14,33%,4.68,30%,0,0%,0%,0
Wade,Shipp,The Nightmare,"6' 3""",245 lbs.,n/a,Orthodox,10,5,0,n/a,4.29,86%,2.14,0%,0,0%,75%,0
Raja,Shippen,n/a,"5' 6""",145 lbs.,n/a,n/a,14,9,0,n/a,0,0%,0,0%,0,0%,0%,0
Yuya,Shirai,n/a,"5' 8""",168 lbs.,n/a,Orthodox,21,10,1,n/a,1.02,100%,4.07,55%,0,0%,0%,0
Wes,Shivers,n/a,"6' 8""",n/a,n/a,n/a,8,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Alexander,Shlemenko,Storm,"5' 11""",185 lbs.,n/a,n/a,51,9,0,n/a,4.36,60%,1.71,63%,0,0%,0%,0
Josh,Shockley,n/a,"6' 1""",155 lbs.,"74.0""",Orthodox,11,4,0,n/a,1.4,33%,1.75,60%,0,0%,61%,0.8
Josh,Shockman,The War Hammer,"6' 4""",235 lbs.,n/a,Southpaw,5,3,0,n/a,0.87,32%,0.87,58%,0,0%,23%,0
Akira,Shoji,n/a,"5' 8""",195 lbs.,n/a,Orthodox,14,17,5,n/a,1.03,34%,2.63,53%,1.79,73%,82%,0.4
Landon,Showalter,The Show,"6' 0""",185 lbs.,n/a,n/a,11,19,1,n/a,0,0%,0,0%,0,0%,0%,0
Brandon,Shuey,Big Dawg,"5' 7""",155 lbs.,n/a,Orthodox,7,6,0,n/a,0.68,33%,1.36,0%,0,0%,0%,10.2
Sam,Sicilia,n/a,"5' 8""",145 lbs.,"67.0""",Orthodox,15,7,0,n/a,2.76,36%,3.53,57%,1.69,43%,73%,1
Kiril,Sidelnikov,n/a,"5' 11""",230 lbs.,n/a,n/a,7,4,0,n/a,2.87,28%,4.48,61%,0,0%,0%,0
Steven,Siler,Super,"5' 11""",145 lbs.,"70.0""",Orthodox,23,13,0,n/a,3.21,41%,2.96,54%,0.47,21%,55%,1.6
Siala,Siliga,Mighty Mo,"6' 1""",290 lbs.,n/a,Orthodox,3,2,0,n/a,1.08,26%,1.96,50%,1.47,50%,80%,0
Xavier,Siller,Young Guns,"5' 5""",125 lbs.,n/a,n/a,5,4,0,n/a,1.02,36%,1.53,57%,3.83,100%,0%,0
Assuerio,Silva,n/a,"5' 10""",241 lbs.,n/a,Orthodox,15,8,0,n/a,1.42,46%,4.2,54%,2.66,34%,25%,1.8
Anderson,Silva,The Spider,"6' 2""",185 lbs.,"77.0""",Southpaw,33,8,0,n/a,3.11,63%,1.8,63%,0.57,77%,68%,0.9
Wanderlei,Silva,The Axe Murderer,"5' 11""",205 lbs.,"74.0""",Orthodox,35,12,1,n/a,2.79,40%,2.19,60%,0.97,53%,62%,0.6
Thiago,Silva,n/a,"6' 2""",205 lbs.,"74.0""",Orthodox,16,3,0,n/a,3.92,50%,2.55,67%,1.03,47%,70%,0.7
Paulo Cesar,Silva,Giant,"7' 5""",385 lbs.,n/a,Orthodox,2,6,0,n/a,0.4,15%,2.72,47%,0.42,100%,16%,0.4
Jean,Silva,White Bear,"5' 6""",160 lbs.,n/a,Orthodox,18,11,3,n/a,0.73,22%,2.93,52%,0,0%,0%,0
Edson,Silva,Paredao,n/a,205 lbs.,n/a,Orthodox,7,8,0,n/a,2.69,14%,5.37,50%,0,0%,0%,0
Sidney,Silva,n/a,"6' 3""",170 lbs.,n/a,Southpaw,8,4,0,n/a,2.86,65%,3.3,34%,3.3,100%,0%,0
Jay,Silva,n/a,"6' 2""",185 lbs.,n/a,Southpaw,7,5,0,n/a,1.13,34%,3.07,40%,0,0%,38%,1
Antonio,Silva,Bigfoot,"6' 4""",264 lbs.,"80.0""",Orthodox,19,10,1,n/a,2.89,45%,3.09,50%,0.82,29%,66%,0.8
Fabio,Silva,n/a,"5' 11""",205 lbs.,n/a,Orthodox,11,5,0,n/a,0.09,11%,5.9,38%,0,0%,0%,0
Erick,Silva,The Tiger,"6' 0""",170 lbs.,"74.0""",Orthodox,19,7,0,n/a,2.65,50%,4.27,45%,1.07,46%,59%,1.8
Leandro,Silva,Buscape,"5' 9""",155 lbs.,"72.0""",Orthodox,19,4,1,n/a,2.39,48%,2.08,63%,1.76,37%,65%,0.4
Wagner,Silva,Wagnao,"6' 0""",170 lbs.,"71.0""",Orthodox,3,3,0,n/a,1.69,29%,2.87,65%,0,0%,58%,0
Rafael,Silva,Morcego,"5' 7""",135 lbs.,n/a,n/a,22,5,0,n/a,0.67,50%,0.73,67%,0,0%,25%,1
Joaquim,Silva,Netto BJJ,"5' 8""",155 lbs.,"69.0""",n/a,9,1,0,n/a,3.53,32%,3.85,64%,0,0%,66%,0
Felipe,Silva,n/a,"6' 0""",155 lbs.,"77.0""",Orthodox,8,0,0,n/a,9.04,44%,7.4,30%,0,0%,0%,0
Douglas,Silva de Andrade,D Silva,"5' 7""",135 lbs.,"68.0""",Orthodox,24,1,0,n/a,3.24,35%,3.1,64%,0.35,50%,75%,0
Marcus,Silveira,Conan,"6' 3""",242 lbs.,n/a,Orthodox,6,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Elias,Silverio,Xuxu,"5' 11""",155 lbs.,"73.0""",Orthodox,11,2,0,n/a,3.67,49%,2.97,51%,1.62,38%,85%,0.2
Aaron,Simpson,A-Train,"6' 0""",170 lbs.,"73.0""",Orthodox,11,4,0,n/a,3.6,52%,2.53,56%,3.78,34%,83%,0.5
Wes,Sims,The Project,"6' 10""",260 lbs.,n/a,Orthodox,22,13,1,n/a,0.98,51%,2.95,37%,0,0%,40%,2.3
Marlon,Sims,n/a,n/a,170 lbs.,n/a,n/a,3,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Tony,Sims,n/a,"5' 11""",155 lbs.,"70.0""",Southpaw,12,4,0,n/a,1.81,63%,0.76,65%,0.71,50%,50%,0.7
Lodune,Sincaid,n/a,"5' 9""",185 lbs.,n/a,Orthodox,15,9,0,n/a,2.45,44%,6.7,49%,0,0%,75%,0
Rob,Sinclair,n/a,"5' 8""",155 lbs.,n/a,n/a,12,3,0,n/a,1.2,33%,1.73,73%,0,0%,50%,0
Rory,Singer,Outburst,"6' 2""",185 lbs.,"77.0""",Orthodox,11,9,0,n/a,2.55,39%,2.42,63%,0.39,25%,64%,0.8
Elvis,Sinosic,The King of Rock n' Rumble,"6' 3""",205 lbs.,"77.0""",Orthodox,7,11,2,n/a,1.13,37%,4.6,53%,0,0%,0%,1.2
AJ,Siscoe,Let's Go,"5' 7""",135 lbs.,n/a,n/a,0,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Yokthai,Sithoar,n/a,"5' 7""",143 lbs.,n/a,n/a,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Jeri,Sitzes,n/a,"5' 5""",125 lbs.,n/a,n/a,3,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Dennis,Siver,n/a,"5' 6""",145 lbs.,"70.0""",Orthodox,22,11,0,n/a,3.66,31%,2.58,66%,0.93,33%,65%,0.4
Chas,Skelly,The Scrapper,"5' 11""",145 lbs.,"72.0""",Orthodox,16,2,0,n/a,1.71,38%,3.21,47%,1.62,33%,41%,3
Matt,Skelton,n/a,"6' 3""",265 lbs.,n/a,Orthodox,0,1,0,n/a,0,0%,0.54,0%,0,0%,66%,0
Zach,Skinner,n/a,"5' 6""",145 lbs.,n/a,Orthodox,6,8,0,n/a,0.53,50%,2.4,32%,5,27%,100%,1
Brian,Sleeman,n/a,"5' 8""",185 lbs.,n/a,n/a,9,9,1,n/a,4,48%,1.85,70%,9.23,100%,100%,0
Joe,Slick,n/a,"6' 0""",199 lbs.,n/a,Orthodox,16,5,3,n/a,0,0%,0,0%,0,0%,0%,0
Ray,Sloan,n/a,"6' 1""",205 lbs.,n/a,n/a,8,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Kestutis,Smirnovas,n/a,"5' 10""",200 lbs.,n/a,Orthodox,22,8,1,n/a,4.95,52%,5.05,54%,1.55,50%,100%,1.6
Maurice,Smith,n/a,"6' 2""",221 lbs.,n/a,Orthodox,12,13,0,n/a,0.41,46%,0.47,60%,0.89,50%,20%,0.9
Patrick,Smith,n/a,"6' 2""",225 lbs.,n/a,Orthodox,20,15,0,n/a,0,0%,0,0%,0,0%,0%,0
Scott,Smith,Hands of Steel,"6' 0""",185 lbs.,"70.0""",Orthodox,17,9,0,n/a,1.86,27%,5.94,50%,0.13,6%,58%,0.4
Eric,Smith,n/a,n/a,n/a,n/a,Southpaw,1,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Josh,Smith,n/a,"6' 0""",155 lbs.,n/a,Orthodox,6,5,0,n/a,0.73,28%,1.4,54%,0,0%,57%,2
David,Smith,n/a,n/a,155 lbs.,n/a,n/a,5,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Adam,Smith,n/a,n/a,n/a,n/a,n/a,0,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Dillon,Smith,n/a,"6' 0""",170 lbs.,n/a,n/a,0,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Trevor,Smith,Hot Sauce,"6' 3""",185 lbs.,"75.0""",Orthodox,14,7,0,n/a,3.49,58%,2.96,51%,1.66,30%,54%,1.1
Anthony,Smith,Lionheart,"6' 4""",185 lbs.,"77.0""",n/a,26,12,0,n/a,3.24,47%,2.98,49%,0.55,40%,33%,1.4
Colton,Smith,n/a,"6' 0""",155 lbs.,"71.0""",Orthodox,6,4,0,n/a,1.64,41%,2.3,51%,4.09,36%,25%,1.4
Gilbert,Smith,n/a,"5' 9""",185 lbs.,"75.0""",Southpaw,5,2,0,n/a,1.09,41%,2.73,35%,3.51,60%,0%,1.2
Leslie,Smith,The Peacemaker,"5' 9""",135 lbs.,"66.0""",Orthodox,9,7,1,n/a,6.81,37%,8.38,52%,0,0%,66%,0
Walter,Smith-Cotito,n/a,"5' 8""",135 lbs.,n/a,n/a,3,4,0,n/a,2.95,36%,3.53,68%,2.16,33%,57%,0
Justin,Smitley,n/a,n/a,145 lbs.,n/a,n/a,10,7,1,n/a,0,0%,0,0%,0,0%,0%,0
Dmitrii,Smoliakov,The Lifeguard,"6' 2""",253 lbs.,"74.0""",Switch,8,1,0,n/a,1.56,41%,2.23,53%,0,0%,85%,0
Louis,Smolka,Da Last Samurai,"5' 9""",125 lbs.,"68.0""",Orthodox,11,3,0,n/a,4.17,48%,2.93,55%,1.97,36%,38%,2.6
Denis,Sobolev,n/a,"6' 3""",216 lbs.,n/a,Orthodox,4,7,0,n/a,0,0%,5.45,33%,0,0%,0%,0
Peter,Sobotta,n/a,"6' 0""",170 lbs.,"75.0""",Southpaw,16,5,1,n/a,2,38%,2.94,59%,2.06,36%,85%,0.8
Renato,Sobral,Babalu,"6' 1""",205 lbs.,"75.0""",Orthodox,36,9,0,n/a,2.23,45%,1.53,57%,2.48,42%,65%,2.6
Rameau Thierry,Sokoudjou,The African Assassin,"5' 10""",205 lbs.,"78.0""",Orthodox,12,10,0,n/a,2.26,45%,2.61,56%,1.93,47%,78%,0.9
Joe,Son,n/a,"5' 4""",236 lbs.,n/a,Orthodox,0,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Paul,Song,n/a,n/a,185 lbs.,n/a,n/a,2,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Chael,Sonnen,n/a,"6' 1""",205 lbs.,"74.0""",Southpaw,29,14,1,n/a,3.08,43%,1.1,62%,3.81,59%,66%,0.4
Cody,Sons,n/a,"5' 9""",205 lbs.,n/a,n/a,0,2,0,n/a,0,0%,0,0%,0,0%,0%,0
Emiliano,Sordi,He-Man,"6' 2""",185 lbs.,n/a,n/a,13,5,0,n/a,4.2,46%,4.4,48%,0,0%,100%,9
Sean,Soriano,n/a,"5' 9""",145 lbs.,"70.0""",Orthodox,8,3,0,n/a,3.15,61%,2.31,52%,1.27,42%,55%,0
Dmitry,Sosnovskiy,Wicked Machine,"6' 3""",240 lbs.,n/a,n/a,10,0,0,n/a,0,0%,0,0%,0,0%,0%,0
Krzysztof,Soszynski,The Polish Experiment,"6' 1""",205 lbs.,"77.0""",Open Stance,26,12,1,n/a,3.37,39%,3.13,58%,0.52,25%,71%,1
George,Sotiropoulos,n/a,"5' 10""",155 lbs.,"71.0""",Orthodox,14,6,0,n/a,2.61,27%,2.52,67%,2.32,31%,53%,1.6
Greg,Soto,n/a,"5' 11""",170 lbs.,"73.0""",Orthodox,8,2,0,n/a,3.21,63%,2.61,52%,1.49,27%,44%,1
Alex,Soto,Extremo,"5' 8""",135 lbs.,"71.0""",Southpaw,6,2,1,n/a,2.95,25%,5.02,59%,2.82,30%,0%,0
Joe,Soto,One Bad Mofo,"5' 6""",135 lbs.,"65.0""",Orthodox,17,5,0,n/a,3.38,40%,5.59,66%,0.83,18%,44%,1.9
Mario,Soto,Dr. Mario,"6' 0""",145 lbs.,n/a,n/a,6,2,0,n/a,1.43,23%,5.23,42%,0,0%,0%,0
Bobby,Southworth,n/a,"6' 2""",205 lbs.,n/a,Orthodox,10,6,0,n/a,0.99,39%,1.38,65%,3.98,78%,64%,1.3
Jacare,Souza,Jacare,"6' 1""",185 lbs.,"72.0""",Orthodox,23,4,0,n/a,2.34,45%,2.01,64%,3.48,44%,58%,1.9
Kevin,Souza,Kevin,"6' 0""",145 lbs.,"74.0""",Orthodox,19,4,0,n/a,4.65,44%,2.91,58%,0,0%,50%,0
Charon,Spain,n/a,"5' 9""",155 lbs.,n/a,n/a,6,7,0,n/a,0,0%,0,0%,0,0%,0%,0
Chris,Spang,The Kiss,"6' 2""",170 lbs.,n/a,Orthodox,5,2,0,n/a,1.83,36%,1.95,60%,0,0%,50%,0.9
Andreas,Spang,Sweet Swede,"6' 1""",185 lbs.,n/a,n/a,6,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Ron,Sparks,The Monster,"6' 5""",265 lbs.,n/a,n/a,8,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Tommy,Speer,n/a,"5' 10""",170 lbs.,"71.0""",Orthodox,19,5,0,n/a,2.56,51%,5.12,35%,2.02,33%,33%,0
Patrick,Speight,n/a,"6' 1""",170 lbs.,n/a,Orthodox,7,3,0,n/a,0,0%,0,0%,0,0%,0%,0
Sean,Spencer,Black Magic,"5' 10""",170 lbs.,"75.0""",n/a,12,6,0,n/a,4.24,32%,4.02,60%,0.14,33%,68%,0
Sam,Spengler,The Ram,"5' 11""",185 lbs.,n/a,Orthodox,4,2,0,n/a,3.27,62%,3.27,54%,1.75,11%,75%,1.8
Nick,Sperling,n/a,n/a,135 lbs.,n/a,n/a,3,3,0,n/a,1.4,25%,1.4,66%,0,0%,0%,0
Mario,Sperry,Zen Machine,"6' 2""",205 lbs.,n/a,Orthodox,13,4,0,n/a,2.81,52%,1.53,47%,2.09,42%,71%,1.4
Eric,Spicely,Zebrinha,"6' 1""",185 lbs.,"73.0""",Orthodox,9,2,0,n/a,2.11,70%,1.76,58%,2.64,16%,0%,2.6
Waachiim,Spiritwolf,Native Warrior,"5' 8""",170 lbs.,n/a,n/a,9,8,1,n/a,10,100%,10,0%,0,0%,0%,0
Daniel,Spohn,Dragon,"6' 4""",205 lbs.,"76.0""",n/a,8,5,0,n/a,1.6,47%,0.73,54%,0,0%,28%,2
Pete,Spratt,The Secret Weapon,"5' 9""",170 lbs.,n/a,Orthodox,23,21,0,n/a,1.63,48%,1.33,55%,0.3,100%,46%,0.3
Georges,St-Pierre,Rush,"5' 11""",170 lbs.,"76.0""",Orthodox,25,2,0,n/a,3.77,53%,1.38,72%,4.2,74%,83%,1.1
Bobby,Stack,n/a,"5' 9""",155 lbs.,n/a,Orthodox,8,2,0,n/a,1,20%,2.89,34%,7.48,45%,100%,0
Andreas,Stahl,Real Steel,"5' 11""",170 lbs.,"73.0""",Orthodox,9,2,0,n/a,2.83,37%,4.74,57%,1.55,66%,80%,0
Ron,Stallings,The Choir Boy,"6' 2""",170 lbs.,"75.0""",Southpaw,13,8,0,n/a,3.22,60%,3.26,51%,0,0%,71%,0
Cristina,Stanciu,Barbie,"5' 3""",115 lbs.,"64.0""",Orthodox,5,2,0,n/a,2.5,50%,3.07,52%,0.85,100%,40%,1.7
Brian,Stann,All American,"6' 1""",205 lbs.,"74.0""",Orthodox,12,6,0,n/a,3.28,42%,2.65,59%,0.12,12%,60%,0.3
Josh,Stansbury,The Sandman,"6' 2""",205 lbs.,"74.0""",n/a,8,4,0,n/a,3.23,56%,3.13,57%,0,0%,87%,1
Dion,Staring,Soldier,"6' 1""",235 lbs.,n/a,Orthodox,24,8,0,n/a,1.09,37%,5,47%,0,0%,33%,0
Lucas,Stark,n/a,n/a,155 lbs.,n/a,n/a,2,5,0,n/a,1.6,25%,3.2,66%,12,100%,0%,0
Clifford,Starks,n/a,"6' 0""",185 lbs.,"77.0""",Orthodox,8,2,0,n/a,1.94,33%,2.49,58%,1.94,100%,60%,0
Kalib,Starnes,n/a,"6' 3""",185 lbs.,"74.0""",Orthodox,12,7,1,n/a,2.71,48%,4.43,53%,1.46,33%,25%,0.6
Damian,Stasiak,Webster,"5' 5""",135 lbs.,"70.0""",Orthodox,10,3,0,n/a,0.86,40%,1.76,52%,3.48,53%,0%,1.5
Adam,Steele,n/a,n/a,170 lbs.,n/a,n/a,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Dominique,Steele,Non-Stop Action-Packed,"5' 10""",170 lbs.,"74.0""",Orthodox,14,8,0,n/a,2.15,47%,2.35,49%,3.47,59%,76%,0
Eric,Steenberg,n/a,n/a,155 lbs.,n/a,n/a,5,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Steve,Steinbeiss,The Hooligan,"6' 3""",185 lbs.,"75.0""",Orthodox,7,4,0,n/a,3.92,55%,1.86,49%,0.44,50%,58%,0
Ray,Steinbeiss,Ipswitch Cobra,"5' 11""",170 lbs.,n/a,Orthodox,14,7,0,n/a,0,0%,0,100%,0,0%,0%,0
Dmitri,Stepanov,n/a,"6' 3""",217 lbs.,n/a,Orthodox,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Jeremy,Stephens,Lil' Heathen,"5' 8""",145 lbs.,"71.0""",Orthodox,25,13,0,n/a,2.79,42%,2.58,60%,1.34,36%,64%,0.5
Aljamain,Sterling,Funk Master,"5' 7""",135 lbs.,"71.0""",Orthodox,12,1,0,n/a,2.99,53%,0.9,69%,2.99,44%,46%,1.6
Marc,Stevens,n/a,"5' 9""",155 lbs.,n/a,n/a,14,6,0,n/a,0.45,26%,1.79,46%,0,0%,0%,0
Joe,Stevenson,Daddy,"5' 7""",145 lbs.,"70.0""",Orthodox,31,14,0,n/a,2.05,44%,2.44,60%,2.75,44%,39%,2.2
Josh,Stewart,n/a,"5' 9""",160 lbs.,n/a,n/a,0,3,0,n/a,0,0%,0,0%,0,0%,0%,0
Luke,Stewart,n/a,"5' 11""",170 lbs.,n/a,Orthodox,6,3,0,n/a,3.75,56%,2.34,53%,3.75,33%,50%,1.9
Darren,Stewart,The Dentist,"6' 0""",205 lbs.,"74.0""",Orthodox,7,0,0,n/a,4.47,70%,0,100%,9.57,50%,0%,0
Alex,Stiebling,The Brazilian Killa,"6' 2""",205 lbs.,n/a,Southpaw,18,11,1,n/a,1.47,41%,1.03,57%,0.22,100%,63%,0.9
Tyler,Stinson,The Evolution,"6' 3""",170 lbs.,n/a,n/a,22,8,0,n/a,2.8,23%,4.6,56%,0.5,100%,0%,0.5
Dan,Stittgen,The Anvil,"6' 1""",170 lbs.,n/a,Orthodox,7,3,0,n/a,2.97,46%,4.42,37%,0.78,100%,100%,0
Denis,Stojnic,n/a,"6' 0""",245 lbs.,n/a,Orthodox,9,3,0,n/a,1.51,23%,6.06,36%,0,0%,80%,1
Ken,Stone,n/a,"5' 8""",135 lbs.,"71.0""",n/a,11,4,0,n/a,3.85,49%,2.9,48%,1.24,33%,60%,0.6
Ryan,Stonitsch,n/a,"5' 9""",170 lbs.,n/a,Southpaw,8,1,0,n/a,2.53,36%,2.53,71%,0,0%,0%,0
George,Stork,n/a,"5' 10""",185 lbs.,n/a,n/a,6,4,0,n/a,0,0%,0,0%,0,0%,0%,0
Rick,Story,The Horror,"5' 9""",170 lbs.,"71.0""",Southpaw,19,9,0,n/a,3.8,41%,2.17,62%,2.53,48%,63%,0.9
Greg,Stott,Ranger,"5' 7""",220 lbs.,n/a,Southpaw,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Curtis,Stout,n/a,"6' 1""",185 lbs.,n/a,Southpaw,11,12,1,n/a,0.69,67%,3.2,29%,0,0%,20%,0
Sam,Stout,Hands of Stone,"5' 9""",155 lbs.,"70.0""",Orthodox,21,12,1,n/a,4.17,28%,4.08,57%,0.63,38%,77%,0.1
Tim,Stout,n/a,"5' 11""",185 lbs.,n/a,n/a,12,10,0,n/a,0,0%,0,0%,0,0%,0%,0
Gennaro,Strangis,n/a,n/a,n/a,n/a,n/a,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Dave,Strasser,n/a,"5' 10""",170 lbs.,n/a,Orthodox,25,8,4,n/a,3.04,45%,1.88,59%,0.72,33%,33%,0
Daniel,Straus,n/a,"5' 7""",145 lbs.,"71.0""",n/a,24,6,0,n/a,4.76,43%,2.99,57%,0.84,15%,81%,1.1
Gerald,Strebendt,The Finishing Machine,"5' 9""",155 lbs.,n/a,Orthodox,9,7,0,n/a,0,0%,4,38%,0,0%,0%,16.4
Sean,Strickland,Tarzan,"6' 1""",170 lbs.,"76.0""",Orthodox,18,1,0,n/a,4.31,37%,2.81,66%,1.52,50%,72%,0.6
Hans,Stringer,n/a,"6' 3""",205 lbs.,"73.0""",Orthodox,22,7,3,n/a,3.16,61%,2.84,41%,2.4,36%,62%,0
Stefan,Struve,Skyscraper,"6' 11""",265 lbs.,"84.0""",Orthodox,32,8,0,n/a,3.39,50%,3.49,48%,0.74,66%,63%,2.5
Mike,Stumpf,n/a,"5' 10""",170 lbs.,"71.0""",n/a,11,4,0,n/a,3.34,43%,8.85,47%,1.59,25%,33%,0.8
Kyle,Sturgeon,n/a,"6' 3""",225 lbs.,n/a,Switch,0,1,0,n/a,0,0%,0,0%,0,0%,0%,0
Tatiana,Suarez,n/a,"5' 5""",115 lbs.,"67.0""",n/a,5,0,0,n/a,4.3,84%,0.27,75%,12.11,100%,0%,4
Masanori,Suda,n/a,"5' 9""",183 lbs.,n/a,Orthodox,22,11,3,n/a,1.8,50%,1.2,63%,0,0%,60%,0
Genki,Sudo,Neo-Samurai,"5' 9""",155 lbs.,n/a,Orthodox,15,4,2,n/a,1.55,39%,2.23,33%,3.58,60%,50%,4.2
Daisuke,Sugie,Amazon,"5' 6""",160 lbs.,n/a,Orthodox,10,8,1,n/a,0,0%,0.22,80%,3.27,50%,0%,3.3
Takashi,Sugiura,n/a,"5' 11""",225 lbs.,n/a,Southpaw,1,3,0,n/a,1.37,40%,2.08,53%,1.33,66%,0%,0
Naho,Sugiyuma,Sugi Rock,"5' 1""",105 lbs.,n/a,n/a,10,4,0,n/a,2.59,48%,2.45,71%,2.05,100%,66%,0
